normalize_text,skor,label_single
emang depresi itu harus diketahuii secara teknisss,0.755928946,Sadness
aku banget lagi gejalanya depresi itu sebulan aku gitu lebih lagi,0.603022689,Sadness
rasa sedih ada stage grief denial barginning anger depresi acceptance,1.264911064,Sadness
apakah masuk depresi ketika saya sudah tidak merasakan perasaan bahagia atau sedih atau kesel bahkan untuk hal hal kecil termasuk saat momen penting yaitu pernikahan dan kelahiran anak semuanya dilewati begitu saja,0.707106781,Anger
psikiater kalau stres kosultasi kediri sendiri atau pergi ke psikiater lain ya,0.577350269,Sadness
psikiater kalau stres ngomong sendiri atau pergi ke psikiater juga ya,0.603022689,Sadness
kesehatan mental itu bisa dirasakan dari janin dan kesehatan fisik memengaruhi kesehatan mental jadi kurang gizi bisa bikin gangguan mental,0.670820393,Sadness
ternyata aku ngalamin depresi bahkan berbulan bulan,0.755928946,Sadness
saya lagi difase gangguan depresi merasa terhibur sama dokter nya cara bicaranya lucu,0.554700196,Joy
tahun terakhir kadang terpaksa minum obat tidur demi bisa ngantor meeting business travel sembuh dari sinus tapi pasangan saya bukan pendengar sebaik sahabat2 kerjaan juga sulit cari dan terpaksa berhenti beribadah berusaha sudah tapi kadang masih sisaan tidur ya anxiety ringan depresi ringan,0.609994281,Fear
dan sekarang saya liat niih podcast karena lagi stres,0.666666667,Sadness
kalau stres mengasuh anak brati tidak sabar sama anak sendiri,0.632455532,Sadness
sedih ketika tubuh punya kekurangan semoga di temui orang positif dan di jauhi ganguan jiwa,0.516397779,Anticipation
jika tanda depresi ada tapi tidak mau berobat apa akan berpengaruh buruk,0.577350269,Sadness
saya depresi kaya flet aja tidak bisa ngerasain apa apa,0.632455532,Sadness
intersting take saya ada background teknik yang menarik adalah correlation adalah tidak causation apakah   obesitas mengakibatkan depresi   ataukah   obesitas berhubungan dengan depresi   itu adalah pernyataan yang sangat berbeda mungkinkah ada lost ini translation,0.657595949,Sadness
bagaimana cara menyembuhkan depresi dari duka yang mendalam,0.707106781,Sadness
podcast ini jadi buat aku ingat sama drakor daily dose of sunshine yang mana dia seorang perawat rumah sakit jiwa yang akhirnya perawatnya kena penyakit mental atau gangguan kecemasan dan setres sampai mau mati depresi banyak banget yang di bahas tentang skizofernia bipolar gangguan kecemasan depresi dan masih banyak lagi drama nya bagus banget dan menang di blue dragon,0.650944555,Fear
bapaku dari didiagnosa psikiater depresi dan cemas berobatnya ke rsk dharmawangsa bulan kmrn kena psikosomatik ngerasa sakit berat katanya rasanya punggungnya dingin selalu selimutan kemana mana pakai jaket selalu ngeluh aduh aduh akhirnya mcu hasilnya baik semua akhirnya kontrol ke rsk dharmawangsa ke ternyata depresi sama cemasnya lagi kambuh terus obatnya ditambahin sekarang alhamdulillah psikomatiknya udah sembuh depresi dan cemasnya masih minum obatnya dari sekarang,0.992277877,Fear
dokter evelyn ini enak banget ngobrolnya pengin diskusi karena w pernah depresi alhamdulillah udah balik pas depresi emang saya kehilangan minat hidup makanya pas saya udah sembuh senang makan saya bersyukur karena pas depresi males makan wkwkw,0.986393924,Joy
aku kalau lagi cemas atau panik lompat lompat sambil nangis wkwkwkwwk,0.603022689,Fear
diagnosa depresi ujung nya bipolar diagnosa nya sampai saat ini masih minum obat,0.554700196,Sadness
cemas berlebih saat tanggal tua itu apakah termasuk gangguan ya bang,0.603022689,Fear
belum tentu orang depresi terlihat depresi mgkn styp orang pny kecenderungan npd tapi levelny beda2 x iya,0.9701425,Sadness
aku kena gerd kalau kambuh sama paniknya juga padahal pola makan udah aman dan memghindari makanan yang dilarang tapi tetap kambuh ternyata stres pemicunya tidak nyangka stres sebahaya ini,0.742781353,Fear
taukah kalian dokter ini pada masa sekolahnya dulu sering melakukan pembullian dan menyebabkan depresi,0.534522484,Sadness
jadi inget masa2 suram tahun depresi parah tidak keluar rumah,0.632455532,Sadness
depresi biasanya terlihat bahagia perhatiin aja foto foto tokoh dunia yang depresi,1.154700538,Joy
saya kerja di luar negeri depresi gara2 patner kerja indonesianya kerja tidak bener nyalah nyalahin egois,1.25,Sadness
reaksi stres akut tahap stres denial anger marah bargaining nawar depresi acceptance,1.732050808,Anger
dok aku dilarang sama ibu untuk main ff sekarang lagi depresi berat,0.577350269,Sadness
penasaran ini bang radit lagi stres mikirin masalah apa wkwk,0.632455532,Anticipation
ekspresi sedih bang radit karena lebih tua,0.755928946,Sadness
alhamdulillah beruntung banget walau sudah 4tahun ini saya mengalami stres akut n depresi serta tidak punya teman setidaknya saya masih bisa hidup sampai detik ini walau jujur tiap hari pengennya cuma mati,0.707106781,Joy
fyi skizofrenia adalah gangguan mental berat yang dapat memengaruhi tingkah laku emosi dan komunikasi,0.534522484,Sadness
pas banget lagi stres hehehe,0.894427191,Sadness
aku merasa aneh bilang semangat tapi aku yang kaya depresi,0.632455532,Sadness
aku termasuk orang yang depresi,0.894427191,Sadness
depresi adalah penyakit medis ingat itu,0.816496581,Sadness
kalau sadar punya pwnyakit depresi apakah bisa mengubah diri sendiri,0.632455532,Sadness
aku sudah hampir tahun minum obat dari psikiater kata dokter aku terkena depresi semangatt buat kaliann,0.5,Sadness
depresi banyak orang gausah sedih kamu tidak sendiri harus ditemani jangan dihakimi dan dijauhi,1.069044968,Sadness
aku udah depresi hampir setahun te tapi aku tetap semangat,0.632455532,Sadness
aku semenjak sama punya sakit depresi,0.816496581,Sadness
depresi karena nganggur ingin rasa nya mengakhiri hidup,0.707106781,Anticipation
saya sering depresi di sekolah tapi aku tidak pernah ngomong,0.632455532,Sadness
mau tanya nih bos depresi bisa kena cemas,1.414213562,Fear
saya adalah oraang depresi yang di sebabkan salah satu keluarga saya deprese,0.577350269,Sadness
hai aku penyintas depresi episode rasanya berat semoga kita semua sehat selalu baik fisik maupun mental buat teman teman yang sehat tolong jangn terlalu menyepelekan kesehatan mental dan jika kalian tidak bisa memberi solusi mohon jangan membandingkan dan menghakimi,0.640512615,Anticipation
aku tahun tapi selalu di bully jadi depresi terkena penyakit anxiety,0.603022689,Fear
aku depresi gara gara nenek aku mati,0.755928946,Disgust
doakan saya kawam saya didiagnosa depresi sedang semoga kalian diluar sana yang sedang berjuang diberkian kesembuhan,0.5,Anticipation
aku mulai mengalami depresi setelah menginjak kelas sama,0.707106781,Sadness
ada yang udah sembuh dari depresi kalau ada tutornya dong,0.632455532,Sadness
depresi tidak dek desi i hope kamu know it,0.666666667,Sadness
tahun saya di siksa dengan depresi orang tidak tau yang kita rasakan tidak ada rasa sedih senang tidak ada yang bisa kita rasakan sedangkan mau makan saja butuh tenaga yang luar biasa untuk mengambil makanan sukur saat ini saya sudah terbebas dari depresi,0.914991422,Joy
jujur aku punya semua bahkan waktu sekolah pun aku pakai wajah ke dua supaya depresi saya tidak terlihat bahkan aku sering dibilang gila karena tertawa saya yang tidak jelas kadang aku sering berkata kotor supaya depresi saya tidak terlihat sama sekali aku udah pendam depresi saya kalau tidak salah tahun dari awal kelas sampai dengan hingga saat ini bahkan tekanan dari orang tua pun selalu menjadi babn bagi pikiran saya,0.836660027,Sadness
kok pas depresi deg degan sama sesak nafas ya,0.666666667,Fear
tahun nganggur gara2 saya depresi trauma masa lalu dan takut sebelum memulai saat mental down saya selalu ingin bunuh diri gini amat hidup saya sekarang jadi nolep tidak punya tujuan hidup,0.538815906,Fear
obat paling ampuh melawan depresi itu sujud kepada tuhan swt,0.632455532,Sadness
kamus orang indonesia   bersdm tinggi   depresi odgj,0.666666667,Sadness
depresi sekali dari awal januari sampai saat ini,0.707106781,Sadness
orang depresi sama orang sekitar pasti dianggapnya   gila   jadi kadang ada orang yang tidak mau sampai ada orang lain yang tau kalau dia depresi,0.784464541,Sadness
depresi itu seperti apa dia,0.894427191,Sadness
kalau ketergantungan obat jatuhnya kecemasan atau depresi,0.755928946,Fear
kyanya saya ngalamin depresi dan anxity,0.816496581,Sadness
tolong aku saya mohon tolong aku depresi,0.755928946,Sadness
saya depresi dan tidak akan di obatin karena nati makin di bully saran cara muka tidak keliatan depresi dong,0.917662935,Sadness
setau saya di jakarta selatan ada rumah sakit dharmawangsa yang melayani konsultasi penyakit bipolar depresi dan kesehatan mental dokter nya juga rekomendasi banget,0.625543242,Sadness
saat ini aku sedang mengalami stres atau depresi atau bahkan aku kena gangguan jiwa atau trauma batin yang sudah mndlm aku gtw yang kutau saat ini aku ingin sendiri dan lebih nymn menyendiri keluar hanya sekedar keperluan saja,0.648885685,Anticipation
saya merasa diri saya depresi dan dokter sudah mengetes saya makanya mau cari tau ke sini saya tidak bisa tidur suka kebangun dan pikiran saya kacau,0.784464541,Sadness
kalau setiap hari tidur nya pagi apa itu depresi aku insom sudah berbulan bulan tidur selalu pagi kadang siang kadang sore sampai berat banget kpla karena gateratur,0.769800359,Sadness
ibu saya malah bilang tidak ada anak kecil yang stres depresi jiga mikir ken nuberat saja padahal mental health itu sangat penting hehe bahkan akumau kuliah ambil psiklogi juga di just sebagai gila capek banget ngeliat mandset orang tua saya bikin stres,1.08012345,Sadness
berat merawat diri sampai tahun stres berat rasanya buat hal merawat diri,0.577350269,Sadness
tapi kalau kita mau menemukan orang depresi lumawan susah karena orang depresi itu punya topeng dibalik di wajah semyum nya,0.894427191,Sadness
bagi penderita depresi jangan lah khawatir tentang hidup kamu atau masalahmu dan jangan biarkan masalahmu mendalilkan dirimu karena kamu saja la yang bisa mendalilkan dirimu masalah kamu dan pikiran kamu dan ingatlah bahwa dunia ini hanya sementara saya doakan selalu untuk kamu semoga sembuh dari depresi,0.737209781,Fear
rasa ingin bunuh diri apa itu depresi,0.755928946,Anticipation
depresi itu orang gila di jalan,0.816496581,Sadness
saya pertama kali depresi ketika sama kelas tapi telah berlalu sembuh setelah bulan meliburkan diri saya merasa hampa males mandi stres berkelanjutan serta sedih tanpa sebab salah satu penyembuhnya ialah agama islam menurut saya di islam ada kitab suci petunjuk berkehidupan yaitu al qur an,0.894427191,Sadness
sebenarnya siapa yang membuat semua ini membuat mental kita rusak siapa yang sebenarnya merusak mental betapa liciknya mereka yang merusak mental kita secara diam  ,0.6,Sadness
halo pak saya depresi karena teman perempuan tidak kunjung merespon,0.632455532,Sadness
saya sering merasa kesepian sedih tiba2 pengin nangis mengurung diri sendiri di kamar,1.109400392,Anticipation
cari teman dong buat yang sesama depresi hehe,0.707106781,Sadness
terima kasih minimal maaf apakah depresi itu gejala gila,0.666666667,Sadness
hidup sebebas ini juga masih depresi plus anxiety,0.707106781,Fear
aku sering ngerasa kesepian bahkan sedih sampai sehari full dan tidak nafsu makan ngerasa hampa dan tidak tau gimana caranya buat ngembaliin mood serasa tidak tertarik buat ngomong sama orang2 sampai tidak tau harus ngomong apaan dan jawab apaan kalau udah parah banget aku pasti nangis sendiri karena saking ngerasa kesepian apa itu bisa disebut depresi,1.069044968,Sadness
bocil yang disuruh beli garem waktu push rank aku depresi,0.632455532,Sadness
waduh ternyata aku depresi toh,0.894427191,Sadness
keknya w sudah lama depresi bertahun tahun pen banget ken psikolog cuman uang adalah uang,0.516397779,Sadness
haaai aku juga penyintasnya dan berhasil melalui masa masa sulit itu kita sendiri yang paham apa yang membuat kita ngerasa depresi trauma dan sedih karena itu adalah akibat dari ingatan buruk tentang sesuatu hal yang berusaha kita lupakan tapi secara tidak langsung itu menyakiti alam bawah sadar kita salah satu jalan sembuhnya berawal dari kita sendiri karena depresi tidak bisa dihilangkan dengan obat saja karena obat hanya untuk menenangkan kita dan supaya kita bisa tidur jika dapat obat untuk tidur dan mengalami susah tidur terapi yang bisa kita terapkan di diri kita sendiri adalah dimulai dengan berhenti mengutuk orang lain dan berusaha memaafkan dan berdamai dengan masa lalu yang memberimu rasa takut trauma penyesalan dan kesedihan karena kalau kalian belum iklas proses pengobatan untuk depresi pasti akan lama itulah kenapa kembali lagi terapi utamanya berawal dari kita sendiri semangat iya kalian kalau aku bisa kalian juga pasti bisa,0.90419443,Fear
cowok main basket sedih cewek meninggal nangis,0.755928946,Sadness
kalau aku sudah depresi sih jujur baru baru ini aja sampai nekat ingin membunuh diri sebanyak kali dan apalagi kalau sudah depresi aku muncul itu lagi aku suka banget dengan yang namanya melukai diriku,0.685994341,Trust
jika qt merasa sudah gagal menjalani kehidupan kemudian orang sekitar tidak menghiraukan qt sering menyalahkan keadaan dan terkadang merasa sedih bisa sampai menangis itu apa juga bisa dikatakan depresi,0.742781353,Sadness
aku stres karena kesepian di ejek ejek temanku putus ada dan saya mengidap batuk berdadrah,1.032795559,Sadness
ada gasih obat yang bisa ngilangin emosi ngilangin rasa sedih marah dan takut,0.832050294,Anger
mayoritas warga indonesia menganggap penyakit mental bukanlah hal yang serius untuk di tangani mereka beranggapan bahwa orang yang depresi adalah   aneh   iya sangat minim pengetahuan akan kesehatan mental terutama untuk warga yang tinggal di desa mereka sangat tabu akan penyakit mental yang mengalami penyakit mental di desa pasti akan di anggap gila di kucilkan di olok olok bahkan menjadi bahan gosip untuk itulah sangat penting pembelajaraan akan kesehatan mental khusus nya sekolah dan remaja,0.802955069,Sadness
depresi itu salah satu penyakit mental yang di anggap enteng sama masyarakat kita karena kurang nya pengetahuan soal penyakit mental bahkan stigma depresi itu kompleks,1.2,Sadness
sering tiba tiba sedih terus nangis padahal tidak tau masalahnya apa,0.603022689,Sadness
mantan suami saya depresi sudah hambir tahun,0.755928946,Sadness
lah saya tidak pernah ngomong depresi palingan saya ngomong   ahh anjing  ,0.554700196,Anger
keren banget neuron milih topik nah ini jangan pernah meremehkan gangguan mental pikiran kita memengaruhi tindakan kita setiap hari loh salah satu penyebab depresi ya media sosial nih kaya yang di bahas di channel fav kuu     inspiratips     semangat bang,0.609994281,Sadness
yang depresi mungkin sedikit banyak bisa saya bantu untuk hipnoteraphy,0.632455532,Sadness
keren banget neuron milih topik ini mental state adalah tidak a joke salah satu penyebab depresi ya media sosial nih kaya yang di bahas di channel fav kuu   inspiratips  ,0.538815906,Sadness
tolong buat pembahasan tentang depresi lebih lanjut,0.755928946,Sadness
depresi dengan gangguan kecemasan yang sudah sampai sesak nafas,0.666666667,Fear
lagi depresi karena masalah keluarga nongol ini video,0.707106781,Sadness
tahun tidak hmil2 depresi tahun ke tuhan menjawab smuany,0.666666667,Sadness
jika aku bandingkan kehidupanku di tahun dengan ternyata beda jauh coy karena di tahun awal saya hidup perfeksionis yang mengakibatkan depresi berat dan gangguan jiwa tapi di tahun akhir udah gadak lagi hal tersebut karena telah diminimalisir yeah walaupun terkadang masih membawa masalah lama yang bikin depresi tapi dengan melakukan perubahan hidup maka hidup bakalan tidak saket kepala yang bakalan menjadi mudah,0.508000508,Anticipation
aku itu depresi gara gara ditekan orang tua cuman gara gara sekolah,0.577350269,Sadness
jijik sama komen   depresi karena kurang ibadah kurang dekat sama tuhan kurang iman   ewh,0.5,Disgust
saya orang penderita depresi yang sering saya dengar ketika kita mencoba talk about that balesannya selalu sama semua halah gitu aja dipikirin itu cuma prasaanmu aja kalau kamu merasa depresi udahlah ngapain sih drama banget tuhan lebay wkwk,0.648885685,Sadness
pernah pas kelas lagi depresi banget gara gara di bully sampai mikir mau bunuh diri,0.516397779,Sadness
semua orang juga punya masalah sendiri sendiri dan semua orang bisa mengatasinya orang lain bisa mengatasinya kenapa anda tidak pakai embel embel   depresi   segala ayo jadi orang jangan lemah mental dan manja,0.514495755,Sadness
semua orang pernah merasakan stres tapi tidak banyak yang tau kalau dia sedang stres lalu ketika semakin dewasa dan belajar pikiran jadi lebih terbuka karena perasaan setiap orang berbeda sehingga beban stres masing2 orang juga berbeda jadi kalau menyamakan tingkat stres satu orang dengan orang lain itu tidak tepat terlebih masing2 orang menghadapi hal yang berbeda juga tapi apakah depresi itu terjadi ketika stres itu menumpuk dan tidak disalurkan sudah sering mendengar kata depresi tapi belum benar2 tahu,1.698415551,Sadness
depresi bisa hilang dengan sendirinya cukup jalani jangan ambil keputusan yang salah karena saya sering mengalami hal ini dan merasa muak dengan orang yang tidak dapat mengerti masalah yang saya alami dan terkadang kita harus menangis sekeras kerasnya untuk menghilangkan beban yang membuat depresi,0.603022689,Disgust
sekarang saya tanya kak depresi itu sakitnya di kepala atau di hati,0.577350269,Sadness
saya lagi depresi parah ngerasa kesepian bnget kaya bener bener lagi dijauhi orang pusing sering ketwa sendiri kadang tiba tiba sedih stres bnget,1.668115312,Sadness
saat aku mulai skripsi aku sudah mulai stress dan depresi setelah lulus kuliah sampai sekarang,0.516397779,Sadness
kunci utama biar tidak depresi setiap ke jadian atau membuat kita ssedih buang aja dari pikiran plongh,0.727606875,Sadness
aku masih sampai dengan tapi udah stres depresi karena saya kesepian terlalu banyak sekolah bosan mau ngapain dan saya dulu cengeng sekarang saya sudah tidak cengeng walaupun di dalam hati pengin banget nangis,1.044465936,Anticipation
apa bedanya trauma dan depresi,0.894427191,Sadness
ternyata selama tahun ini saya telah depresi karena saat ada kakek teman saya yang mening al saya tidak bisa merasakan yang nama nya rasa sedih,0.8,Sadness
moodnya tidak bagus dan murung tanda depresi saya bahagia dalam kesunyian i think it just perfect good to hate ppl tidak depresi sedih berkepanjangan karena suatu hal saya gelisah tidak ada alesan malem nangis sendiri tidak tau kenapa,0.973328527,Fear
tiap bangun pusing banget semuanya suram sedih,0.755928946,Sadness
aku boleh cerita sedikit aku merasakan cinta untuk pertama kalinya di umur 22th dan hubungan kita sudah 3th dan perempuan itu meninggal aku padahal apa yang dia mau aku kasih dan aku membelikan cincin untuk pertunangan kita aku sedih aku tres aku bingung aku salah apa depresi ini membuat saya ingin mengakhiri hidup aku meminum cairan pembersih wc yang aku kasih sedikit esbatu dan depresi ini menyelimuti saya selama 8bulan berjalan ini dan entah kenapa setiap aku tertidur seperti kejang kejang sesaat di saat tidur siang maupun malam hari dan buat kalian semangat kita pasti bisa melawannya kata dokter saya obat yang sesungguhnya ada di keluarga dan orang orang terdekat kalian yang selalu terbuka apapun itu terima kasih teman teman,0.63900965,Anticipation
aku dengar kalau terlalu sering main ponsel pintar atau gadget lainnya bisa menyebabkan stres dan depresi apakah benar aku ini orangnya teliti banget segalanya diperhatiin gara itu aku malah jadi sering banget mikirin kata orang sampai nangis di kamar   kenapa aku tidak bisa jadi seperti itu     aku pengin jadi seperti mereka   yah cuma agak curhat aja sih,0.51214752,Anticipation
aku merasakan sedih dan hampa kosong selama tahun apapun yang saya lakukan bahkan bersosialisasi sekalipun aku masih merasakan perasaan sedih dan hampa apa yang harus saya lakukan,0.769800359,Sadness
stres depresi dan sebagainya itu emang nyata dan yang menderitanya sangat2 butuh bantuan sedikit yang stimulasi kebahagian aja bener2 ngefek misalnya aja saya pernah lagi bad mood banget dan bakal kesel sama siapapun dan lagi tidak mau ngomong sama siapa2 tapi kemudian pas saya makan makanan enak yang tidak nyangka banget seenak itu langsung timbul bahagia seolah2 zat2 kayak serotonin dopamin tadi itu meningkat tapi sayangnya itu cuma sementara pas makanan itu habis hal itu kambuh lagi   semoga yang sedang sakit segera sembuh dan sehat lagi fisik dan mental,0.527046277,Anger
mau tidak mau kita harus hidup berdampingan dengan yang namanya depresi,0.603022689,Trust
jadi selama ini saya sudah depresi soalnya semua kriterianya saya alami,0.603022689,Sadness
apa depresi bisa sembuh sendiri minimal,0.816496581,Sadness
saya hampir murtad karena depresi,0.894427191,Sadness
hari ini depresi enxiety besok b aja,0.755928946,Anticipation
saya depresi sampai self harm hehe,0.816496581,Sadness
aku semua itu punya hampa sedih dan murung,0.707106781,Sadness
tapi kenapa setiap mulai cerita ke tiap telinga mereka juga mengaku depresi jadi saya menganggap memang semua orang mempunyai fase seperti depresi ini,0.834057656,Sadness
kenapa ketika bercerita tentang depresi kata temen malah saya kurang sholat katanya semua orang juga ngalami depresi katanya saya labil juga padahal bukan itu jawaban yang saya mau dengar,0.742781353,Sadness
kamu tidak depresi kamu kurang doa   kata ortuku dulu  ,0.603022689,Sadness
depresi aku lagi berak dituduh coli broken home,0.707106781,Sadness
lagunya suaranya nya bikin makij depresi,0.816496581,Sadness
tolong jawab pertanyaan ini usia saya tahun dan di masukkan kedalam pondok pesantren oleh orang tua saya sehari hari memang aku tidak berhenti menangis karena tidak betah tapi setelah berminggu minggu aku sudah mulai betah dan tidak nangis lagi tapi aku merasa sedih gelisah tidak semangat setiap saat entah datang nya dari mana segitu berbeda dari sifat saya saat masih sampai dengan yang selalu semangat dan sering ketawa pokoknya bahagia setelah kupikir pikir sepertinya rasa sedih gelisah serta khawatir ini bukan disebab kan karena tidak betah di pondok karena rasa sedih nya bukan datang ketika aku sedang rindu orang tua dan aneh nya lagi rasa sedih gelisah tidak nyaman gundah nya datang setiap hari sehingga aku jadi jarang bersosial dan berbicara dan menjadi penyendiri setiap hari apakah aku sedang terkena gangguan jiwa atau karena faktor lain tolong di jawab supaya aku tidak bingung lagi,0.666666667,Fear
depresi butuh orang buat curhat meanwhile ketika curhat lagi depresi kamu itu cuma kurang bersyukur kamu itu cuma kurang beriman mangkanya sholat depresi doang paling juga seminggu sembuh dan sejenisnya saran kalau emang lagi depresi curhatnya langsung ke psikolog jangan ke orang2 biasa sebagian besar mereka bakal ngeremehin dan gabegitu peduli apalagi ngebantu,1.098884512,Joy
